"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Source","EID"
"Pushadapu V.V.S.K.; Srilakshmi C.; Vinitha B.; Babu P.S.; Rahaman S.A.; Chettupalli A.K.; Devadasu V.R.; Bukke S.P.N.","Pushadapu, V V Siva Krishna (59553328500); Srilakshmi, Chadarajupalli (60226033300); Vinitha, Bandaru (60225939300); Babu, Puttagunta Srinivasa (57222578828); Rahaman, Shaik Abdul (24339068100); Chettupalli, Ananda Kumar (57219205053); Devadasu, Venkat Ratnam (57215923063); Bukke, Sarad Pawar Naik (58010172000)","59553328500; 60226033300; 60225939300; 57222578828; 24339068100; 57219205053; 57215923063; 58010172000","Artificial Intelligence and Machine Learning (AI/ML) Revolution in Cardiology Medical Devices: From Diagnosis to Treatment","2025","International Journal of Computational Intelligence Systems","18","1","321","","","0","10.1007/s44196-025-01084-z","https://www.scopus.com/pages/publications/105023957791?origin=resultslist","Review","Final","Scopus","2-s2.0-105023957791"
"Leivaditis V.; Beltsios E.; Papatriantafyllou A.; Grapatsas K.; Mulita F.; Kontodimopoulos N.; Baikoussis N.G.; Tchabashvili L.; Tasios K.; Maroulis I.; Dahm M.; Koletsis E.","Leivaditis, Vasileios (57219959847); Beltsios, Eleftherios (57209681635); Papatriantafyllou, Athanasios (58517125100); Grapatsas, Konstantinos (56667706700); Mulita, Francesk (57200275021); Kontodimopoulos, Nikolaos (6507914800); Baikoussis, Nikolaos G. (26040478800); Tchabashvili, Levan (57220034835); Tasios, Konstantinos (58948217900); Maroulis, Ioannis (13808152300); Dahm, Manfred (7004288339); Koletsis, Efstratios (24721607200)","57219959847; 57209681635; 58517125100; 56667706700; 57200275021; 6507914800; 26040478800; 57220034835; 58948217900; 13808152300; 7004288339; 24721607200","Artificial Intelligence in Cardiac Surgery: Transforming Outcomes and Shaping the Future","2025","Clinics and Practice","15","1","17","","","37","10.3390/clinpract15010017","https://www.scopus.com/pages/publications/85216247251?origin=resultslist","Review","Final","Scopus","2-s2.0-85216247251"
"Dinesh S.; Logesh S.; Adthiya V.; Balamurugan P.","Dinesh, S. (59470718800); Logesh, S. (59732940000); Adthiya, V. (59732576700); Balamurugan, P. (60253731300)","59470718800; 59732940000; 59732576700; 60253731300","Fabrication and Early Prediction of ECG Signals Using Machine Learning for Cardiovascular Diseases","2025","Lecture Notes in Networks and Systems","1241","","","357","366","0","10.1007/978-981-96-1267-3_30","https://www.scopus.com/pages/publications/105002365380?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105002365380"
"Priya A.K.; Madireddy B.","Priya, Anthani Kamala (60347122800); Madireddy, Bhavani (59717883200)","60347122800; 59717883200","Deep learning driven electrocardiogram classification with optimized convolutional neural network for accurate arrhythmia detection and explainable clinical decision support","2025","International Journal of Basic and Applied Sciences","14","1","","251","263","0","10.14419/sbrrvz11","https://www.scopus.com/pages/publications/105006555607?origin=resultslist","Article","Final","Scopus","2-s2.0-105006555607"
"Chuang B.B.-S.; Yang A.C.","Chuang, Beau Bo-Sheng (58677505500); Yang, Albert C. (7203072314)","58677505500; 7203072314","Optimization of Using Multiple Machine Learning Approaches in Atrial Fibrillation Detection Based on a Large-Scale Data Set of 12-Lead Electrocardiograms: Cross-Sectional Study","2024","JMIR Formative Research","8","","","","","5","10.2196/47803","https://www.scopus.com/pages/publications/85191160203?origin=resultslist","Article","Final","Scopus","2-s2.0-85191160203"
"Cheng Y.-T.; Huang J.-E.; Chin H.-H.","Cheng, Yu-Tsung (55667963500); Huang, Jen-En (59195843000); Chin, Hui-Hsin (55486318300)","55667963500; 59195843000; 55486318300","Private 5G and AIoT in Intelligent Healthcare: A Case Study of EECP Therapy","2025","Mobile Networks and Applications","30","3-4","","586","596","0","10.1007/s11036-025-02474-5","https://www.scopus.com/pages/publications/105027242684?origin=resultslist","Article","Final","Scopus","2-s2.0-105027242684"
"Kumar Singh V.; Avinash Keshattiwar T.; Nimkande A.S.; Vijay Dhewale A.; Pinjarkar P.S.","Kumar Singh, Viomesh (57192106861); Avinash Keshattiwar, Tanuj (60502490200); Nimkande, Anurag Shankar (60503671000); Vijay Dhewale, Ayush (60502490300); Pinjarkar, Pravin Sham (60502686000)","57192106861; 60502490200; 60503671000; 60502490300; 60502686000","Real-Time ECG Analytics and Arrhythmia Detection","2025","Proceedings of International Conference on Sustainable Communication Networks and Application, ICSCN 2025","","","","239","247","0","10.1109/ICSCN67106.2025.11308545","https://www.scopus.com/pages/publications/105032742475?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105032742475"
"Ramesh J.; Solatidehkordi Z.; Aburukba R.; Sagahyroon A.; Aloul F.","Ramesh, Jayroop (57213980311); Solatidehkordi, Zahra (57316359100); Aburukba, Raafat (16038508600); Sagahyroon, Assim (6603075555); Aloul, Fadi (6601962378)","57213980311; 57316359100; 16038508600; 6603075555; 6601962378","Transferring Learned ECG Representations for Deep Neural Network Classification of Atrial Fibrillation with Photoplethysmography","2025","Applied Sciences (Switzerland)","15","9","4770","","","5","10.3390/app15094770","https://www.scopus.com/pages/publications/105004898565?origin=resultslist","Article","Final","Scopus","2-s2.0-105004898565"
"Digiacomo F.; Olmo G.; Gumiero A.","Digiacomo, Federico (59995009900); Olmo, Gabriella (7003381758); Gumiero, Alessandro (57208490721)","59995009900; 7003381758; 57208490721","Intra-Subject Clustering of ECG Heartbeats from Wearable Devices Using Deep Learning and Feature Engineering","2025","Proceedings - IEEE Symposium on Computer-Based Medical Systems","","","","57","64","1","10.1109/CBMS65348.2025.00021","https://www.scopus.com/pages/publications/105010627827?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105010627827"
"Li X.; Hussein R.; Zhu G.; Sui X.; Li H.; Yang X.; Zeng Z.; Li Y.","Li, Xiaoyu (58761682400); Hussein, Ramy (59469651700); Zhu, Guangpu (58925133600); Sui, Xin (59469485100); Li, Hongwei (58181294200); Yang, Xiajiao (58117945600); Zeng, Zijing (58924550300); Li, Yelei (58924698500)","58761682400; 59469651700; 58925133600; 59469485100; 58181294200; 58117945600; 58924550300; 58924698500","Continuous Blood Pressure Monitoring and Hypertension Risk Screening Using Smart Watch","2024","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","","","","","","3","10.1109/EMBC53108.2024.10782190","https://www.scopus.com/pages/publications/85214981985?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85214981985"
"Suryawanshi U.J.; Chavan M.","Suryawanshi, Umarani J. (60587034700); Chavan, Meena (57890278900)","60587034700; 57890278900","Enhanced ECG-Based Myocardial Infarction Prediction Using a Combined Signal Processing and Machine Learning Approach","2026","AIP Conference Proceedings","3386","1","020106","","","0","10.1063/5.0322667","https://www.scopus.com/pages/publications/105035988778?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105035988778"
"Krishnamoorthy U.; Karthika V.; Mathumitha M.K.; Panchal H.; Jatti V.K.S.; Kumar A.","Krishnamoorthy, Umapathi (57194329003); Karthika, V. (58285368300); Mathumitha, M.K. (58285265600); Panchal, Hitesh (55573559000); Jatti, Vijay Kumar S (55792700800); Kumar, Abhinav (58951802600)","57194329003; 58285368300; 58285265600; 55573559000; 55792700800; 58951802600","Learned prediction of cholesterol and glucose using ARIMA and LSTM models – A comparison","2024","Results in Control and Optimization","14","","100362","","","16","10.1016/j.rico.2023.100362","https://www.scopus.com/pages/publications/85180563943?origin=resultslist","Article","Final","Scopus","2-s2.0-85180563943"
"Dadiyala C.; Saxena A.A.; Kale K.A.; Bhattad K.A.; Sheikh N.T.S.; Priyanshi","Dadiyala, Charanjeet (57432773300); Saxena, Archie Abhay (59210559600); Kale, Khushi Amol (59210559700); Bhattad, Kritika Anil (59210736200); Sheikh, Nida Tabassum Sharif (59210736300); Priyanshi (58407210700)","57432773300; 59210559600; 59210559700; 59210736200; 59210736300; 58407210700","Progressive Heart Disease Prediction Model Using Machine Learning: A Comprehensive Staging Approach","2024","International Conference on Smart Systems for Applications in Electrical Sciences, ICSSES 2024","","","","","","1","10.1109/ICSSES62373.2024.10561373","https://www.scopus.com/pages/publications/85197906942?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85197906942"
"Bhuvaneswari R.; Prabu M.; Diviya M.; Subramanian M.; Natarajan A.K.","Bhuvaneswari, R. (57992288000); Prabu, M. (55778146006); Diviya, M. (57191361356); Subramanian, M. (57243514300); Natarajan, A.K. (55602548600)","57992288000; 55778146006; 57191361356; 57243514300; 55602548600","Advancing precision medicine: Integrating AI and machine learning for personalized healthcare Solutions","2024","Artificial Intelligence Transformations for Healthcare Applications: Medical Diagnosis, Treatment, and Patient Care","","","","344","361","7","10.4018/979-8-3693-7462-7.ch015","https://www.scopus.com/pages/publications/85202728151?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-85202728151"
"Korir B.K.; Ndlovu S.; Nyamori V.O.; Kibet J.K.","Korir, Benjamin K. (57225067887); Ndlovu, Samantha (58454368900); Nyamori, Vincent O. (6507465281); Kibet, Joshua K. (55510638700)","57225067887; 58454368900; 6507465281; 55510638700","A review of lead leakage monitoring in perovskite solar cells: emerging detection technologies, just transition to clean energy and perspectives","2026","RSC Advances","16","12","","11217","11245","0","10.1039/d5ra10006b","https://www.scopus.com/pages/publications/105031579662?origin=resultslist","Review","Final","Scopus","2-s2.0-105031579662"
"Chen H.; Zhan J.; Guo Y.; Guan Y.; Liang X.","Chen, Hong (59693209900); Zhan, Jing (57216948256); Guo, Yubo (59983623300); Guan, Yezheng (59983623400); Liang, Xiao (57194707685)","59693209900; 57216948256; 59983623300; 59983623400; 57194707685","Research and Design of a CNN-LSTM-Based ECG Atrial Fibrillation Recognition System","2025","2025 IEEE 6th International Seminar on Artificial Intelligence, Networking and Information Technology, AINIT 2025","","","","1280","1284","0","10.1109/AINIT65432.2025.11035225","https://www.scopus.com/pages/publications/105010228802?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105010228802"
"Ying Y.; Wang L.; Ma S.; Zhu Y.; Ye S.; Jiang N.; Zhao Z.; Zheng C.; Shentu Y.; Wang Y.; Li D.; Zhang J.; Chen C.; Huang L.; Yang D.; Zhou Y.","Ying, Yaozhe (57800051900); Wang, Luhui (57555551300); Ma, Shuqing (57219420729); Zhu, Yun (58671065500); Ye, Simin (57219418532); Jiang, Nan (58589784000); Zhao, Zongyuan (57464812300); Zheng, Chenfei (57193381160); Shentu, Yangping (57210924941); Wang, YunTing (57207742225); Li, Duo (57197284956); Zhang, Ji (49662643600); Chen, Chaosheng (56522239600); Huang, Liyao (58564715200); Yang, Deshu (58559105300); Zhou, Ying (57195578112)","57800051900; 57555551300; 57219420729; 58671065500; 57219418532; 58589784000; 57464812300; 57193381160; 57210924941; 57207742225; 57197284956; 49662643600; 56522239600; 58564715200; 58559105300; 57195578112","An enhanced machine learning approach for effective prediction of IgA nephropathy patients with severe proteinuria based on clinical data","2024","Computers in Biology and Medicine","173","","108341","","","6","10.1016/j.compbiomed.2024.108341","https://www.scopus.com/pages/publications/85188892977?origin=resultslist","Article","Final","Scopus","2-s2.0-85188892977"
"Khaja S.; Baijoo K.; Aziz R.","Khaja, Sofia (57787550000); Baijoo, Kevin (60008046200); Aziz, Reza (60007894500)","57787550000; 60008046200; 60007894500","Artificial intelligence-powered advancements in atrial fibrillation diagnostics: a systematic review","2025","Egyptian Heart Journal","77","1","73","","","0","10.1186/s43044-025-00670-y","https://www.scopus.com/pages/publications/105011291574?origin=resultslist","Review","Final","Scopus","2-s2.0-105011291574"
"Niyogi S.G.; Nag D.S.; Shah M.M.; Swain A.; Naskar C.; Srivastava P.; Kant R.","Niyogi, Subhrashis Guha (57212250614); Nag, Deb Sanjay (39861920700); Shah, Mandar Mahavir (24492705900); Swain, Amlan (57200897831); Naskar, Chandrima (57211799750); Srivastava, Preeti (57279804500); Kant, Ravi (59954161800)","57212250614; 39861920700; 24492705900; 57200897831; 57211799750; 57279804500; 59954161800","Role of artificial intelligence in congenital heart disease","2025","World Journal of Clinical Pediatrics","14","3","105926","","","1","10.5409/wjcp.v14.i3.105926","https://www.scopus.com/pages/publications/105008543719?origin=resultslist","Review","Final","Scopus","2-s2.0-105008543719"
"Veliciu V.; Pop S.; Jano R.; Viman L.","Veliciu, Vlad (59517911700); Pop, Septimiu (14024888600); Jano, Rajmond (54420208900); Viman, Liviu (14025079200)","59517911700; 14024888600; 54420208900; 14025079200","Embedded ECG Analytics for Remote Health Monitoring","2025","IEEE International Symposium for Design and Technology of Electronics Packages, SIITME - Conference Proceedings","","","","146","151","0","10.1109/SIITME67657.2025.11293549","https://www.scopus.com/pages/publications/105031698783?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105031698783"
"Maddox T.M.; Fry E.T.A.; Wilson B.H.","Maddox, Thomas M. (8563238900); Fry, Edward T.A. (7102301311); Wilson, B. Hadley (57199470247)","8563238900; 7102301311; 57199470247","The Cardiovascular Workforce Crisis: Navigating the Present, Planning for the Future","2024","Journal of the American College of Cardiology","83","3","","466","469","9","10.1016/j.jacc.2023.12.001","https://www.scopus.com/pages/publications/85181799212?origin=resultslist","Editorial","Final","Scopus","2-s2.0-85181799212"
"Banerjee P.; Navamani T.M.; Paul M.G.; Krishna N.G.S.; Agarwal S.","Banerjee, Pratyush (59898065500); Navamani, T.M. (49361944200); Paul, Mitali Gopinath (59897861400); Krishna, Nalam Guna Sri (59898065600); Agarwal, Sristi (59899061200)","59898065500; 49361944200; 59897861400; 59898065600; 59899061200","A Novel Approach for Heart Disease Prediction Using Ensemble Machine Learning Techniques","2025","Proceedings of 2025 3rd International Conference on Intelligent Systems, Advanced Computing, and Communication, ISACC 2025","","","","520","526","1","10.1109/ISACC65211.2025.10969413","https://www.scopus.com/pages/publications/105005177863?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105005177863"
"Djaja-Jośko V.; Kołakowski M.; Cichocki J.; Kołakowski J.","Djaja-Jośko, Vitomir (57103661700); Kołakowski, Marcin (57190338491); Cichocki, Jacek (6506969336); Kołakowski, Jerzy (6701516259)","57103661700; 57190338491; 6506969336; 6701516259","Overview of the RENEW Platform, an AI and DT-driven Solution Aimed at Optimizing Care for Hypertensive Patients","2025","2025 33rd Telecommunications Forum, TELFOR 2025 - Proceedings of Papers","","","","","","0","10.1109/TELFOR67910.2025.11314240","https://www.scopus.com/pages/publications/105031874919?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-105031874919"
"Bhandage V.; Asuti M.G.; Siddappa N.G.; Challagidad P.S.; Benni N.S.; Cenitta D.; Arjunan R.V.","Bhandage, Venkatesh (57202333193); Asuti, Manjunath G. (57212302565); Siddappa, Nijaguna Gollara (59706943500); Challagidad, Praveenkumar S. (60184095000); Benni, Nirmalkumar S. (56046239500); Cenitta, D. (57205102082); Arjunan, R. Vijaya (39862542500)","57202333193; 57212302565; 59706943500; 60184095000; 56046239500; 57205102082; 39862542500","HRAESN-IoT: A Hybrid Residual Attention and Echo State Network Approach for IoT-Enabled Heart Disease Prediction","2025","Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications","16","1","","375","389","3","10.58346/JOWUA.2025.I1.023","https://www.scopus.com/pages/publications/105003002382?origin=resultslist","Article","Final","Scopus","2-s2.0-105003002382"
"Al Younis S.M.; Hadjileontiadis L.J.; Al Shehhi A.M.; Stefanini C.; Alkhodari M.; Soulaidopoulos S.; Arsenos P.; Doundoulakis I.; Gatzoulis K.A.; Tsioufis K.; Khandoker A.H.","Al Younis, Sona M. (58683062300); Hadjileontiadis, Leontios J. (7004037926); Al Shehhi, Aamna M. (55813913300); Stefanini, Cesare (13605957700); Alkhodari, Mohanad (57195943569); Soulaidopoulos, Stergios (56955730700); Arsenos, Petros (34771082800); Doundoulakis, Ioannis (57192119339); Gatzoulis, Konstantinos A. (57211739196); Tsioufis, Konstantinos (55355673900); Khandoker, Ahsan H. (23091108200)","58683062300; 7004037926; 55813913300; 13605957700; 57195943569; 56955730700; 34771082800; 57192119339; 57211739196; 55355673900; 23091108200","Investigating automated regression models for estimating left ventricular ejection fraction levels in heart failure patients using circadian ECG features","2023","PLoS ONE","18","12 December","e0295653","","","8","10.1371/journal.pone.0295653","https://www.scopus.com/pages/publications/85179642909?origin=resultslist","Article","Final","Scopus","2-s2.0-85179642909"
"Nawale H.; Nikose M.","Nawale, Hemalata (57821869800); Nikose, Mangesh (56405527800)","57821869800; 56405527800","AI-driven CardioPredict: A synergistic ensemble framework for heart health monitoring","2025","International Journal of Artificial Organs","48","11","","826","845","0","10.1177/03913988251360543","https://www.scopus.com/pages/publications/105020792354?origin=resultslist","Article","Final","Scopus","2-s2.0-105020792354"
"Yong Q.; Yang L.; Kardos A.; Zhao Y.","Yong, Qi (59969380800); Yang, Lichao (57219401199); Kardos, Attila (55844542200); Zhao, Yifan (57196243255)","59969380800; 57219401199; 55844542200; 57196243255","Non-invasive cardiovascular and vital signs monitoring techniques: review, challenges, and perspectives","2026","Measurement: Journal of the International Measurement Confederation","258","","119472","","","1","10.1016/j.measurement.2025.119472","https://www.scopus.com/pages/publications/105020662596?origin=resultslist","Review","Final","Scopus","2-s2.0-105020662596"
"Mohammadi A.; Shokohyar S.","Mohammadi, Abbas (57218480830); Shokohyar, Sheida (57209976820)","57218480830; 57209976820","Artificial intelligence in personalized cardiology treatment","2025","Digital Chinese Medicine","8","1","","28","35","1","10.1016/j.dcmed.2025.03.003","https://www.scopus.com/pages/publications/105004820419?origin=resultslist","Review","Final","Scopus","2-s2.0-105004820419"
"Sadiq I.; Qureshi H.N.; Rizwan A.; Imran A.","Sadiq, Ismail (58843730300); Qureshi, Haneya N. (57201555834); Rizwan, Ali (24779840400); Imran, Ali (35229524800)","58843730300; 57201555834; 24779840400; 35229524800","Cardiac Arrhythmia Classification From Lead I ECG Recorded in a Free-Living Environment","2025","IEEE Journal of Biomedical and Health Informatics","","","","","","3","10.1109/JBHI.2025.3634307","https://www.scopus.com/pages/publications/105022758688?origin=resultslist","Article","Article in press","Scopus","2-s2.0-105022758688"
"Zhang W.; Cheng W.; Fujiwara K.; Evans R.; Zhu C.","Zhang, Wei (56760584900); Cheng, Weihan (58729711500); Fujiwara, Koichi (58997133600); Evans, Richard (55713744000); Zhu, Chengyan (57212151113)","56760584900; 58729711500; 58997133600; 55713744000; 57212151113","Predictive Modeling for Hospital Readmissions for Patients With Heart Disease: An Updated Review From 2012-2023","2024","IEEE Journal of Biomedical and Health Informatics","28","4","","2259","2269","10","10.1109/JBHI.2023.3349353","https://www.scopus.com/pages/publications/85181839680?origin=resultslist","Article","Final","Scopus","2-s2.0-85181839680"
"Sandeep B.; Wang X.; Xiao Z.","Sandeep, Bhushan (57657376900); Wang, Xiaowei (57225118029); Xiao, Zongwei (57218400417)","57657376900; 57225118029; 57218400417","Comment on: Smart Technologies Used as Smart Tools in the Management of Cardiovascular Disease and Their Future Perspective","2023","Current Problems in Cardiology","48","12","102008","","","0","10.1016/j.cpcardiol.2023.102008","https://www.scopus.com/pages/publications/85168012303?origin=resultslist","Letter","Final","Scopus","2-s2.0-85168012303"
"Essa H.; Johnston B.; Lip G.Y.H.; Ortega-Martorell S.; Williams K.; Welters I.D.; Ortega-Martorell S.; Olier I.; Mistry D.; Knowles A.T.; Bellfield R.; Aikodon N.; Lotto R.; Jones I.; Dawson E.; Thijssen D.; Maganaris C.; Baltzopoulos B.; McDowell G.; Smith G.; Ohlsson M.; Peterson C.; Bjorkelund A.; Lip G.Y.; Lane D.A.; Zheng Y.; El-Bouri W.; Proietti R.; Welters I.D.; Valls D.S.P.; Rashwan H.; Yadav G.K.; Oller E.D.; Giralt-Steinhauer E.; Guillen-Sola A.; Balado J.J.; Conde J.J.; Jansen B.; Omelina L.; Swinnen E.; Raedt S.D.; Dan B.; Degelaen M.; Embrechts E.; Chambon S.; Mouysset S.; Itu L.M.; Benedek T.; Benedek I.; Rat N.; Blindu E.; Rodean I.; Halatiu B.; Gerculy R.; Rosca A.; Mihaila T.; Errey K.; Akkas A.; Hillerkuss D.; Horton G.; Tuladhar A.; Cate T.T.; Fairbairn T.; Tidbury L.; Lobban T.; Johnston B.; Essa H.; Hose K.; Raidou R.G.; Tomaszuk D.; Sagi T.; Frings O.; Lluch E.; Vivani L.; Anastasia S.; Tsaopoulos D.; Nikolopoulos S.; Risvas K.; Kalaganis F.","Essa, Hani (57217387972); Johnston, Brian (57209475791); Lip, Gregory Y.H. (57216675273); Ortega-Martorell, Sandra (36090096200); Williams, Karen (57224961460); Welters, Ingeborg D. (59326518400); Ortega-Martorell, Sandra (60346518700); Olier, Ivan (8914762100); Mistry, Dharmesh (57937731100); Knowles, Adam T (57209503349); Bellfield, Ryan (57959003700); Aikodon, Nosa (58844338700); Lotto, Robyn (56689969700); Jones, Ian (55628589725); Dawson, Ellen (7102147991); Thijssen, Dick (8714483100); Maganaris, Costis (60346887100); Baltzopoulos, Bill (57779897300); McDowell, Garry (59282341600); Smith, Grahame (60346518800); Ohlsson, Mattias (7006120856); Peterson, Carsten (57206215196); Bjorkelund, Anders (49963001600); Lip, Gregory Yh (57802425600); Lane, Deirdre A (57203229915); Zheng, Yalin (58716710800); El-Bouri, Wahbi (55941397000); Proietti, Riccardo (27467722800); Welters, Ingeborg D (7004417687); Valls, Domènec Savi Puig (60346811100); Rashwan, Hatem (60346961000); Yadav, Gaurav Kumar (60346961100); Oller, Esther Duarte (7005169412); Giralt-Steinhauer, Eva (52363454900); Guillen-Sola, Anna (18634318700); Balado, Joan Jimenez (60346594100); Conde, Jordi Jimenez (24342838100); Jansen, Bart (60346444000); Omelina, Lubos (24470264300); Swinnen, Eva (36136288000); Raedt, Sylvie De (57951148800); Dan, Bernard (7004780531); Degelaen, Marc (36774369700); Embrechts, Elissa (57207855399); Chambon, Sylvie (60346887200); Mouysset, Sandrine (25960255600); Itu, Lucian Mihai (36349647600); Benedek, Theodora (57199015440); Benedek, Imre (57199015451); Rat, Nora (57197873691); Blindu, Emanuel (58236091200); Rodean, Ioana (57209237957); Halatiu, Bogdan (60346736800); Gerculy, Renata (58234963500); Rosca, Aurelian (58236091300); Mihaila, Theofana (58871769100); Errey, Keith (60346518900); Akkas, Anne (60346444100); Hillerkuss, Dominic (57201055470); Horton, Georgina (60346444200); Tuladhar, Anil (18635629300); Cate, Tim Ten (57211491344); Fairbairn, Timothy (36552188400); Tidbury, Laurence (56471827000); Lobban, Trudie (26032236900); Johnston, Brian (60346736900); Essa, Hani (60346594200); Hose, Katja (23388785300); Raidou, Renata G (56648018400); Tomaszuk, Dominik (51061396100); Sagi, Tomer (36905200000); Frings, Oliver (60147226800); Lluch, Eric (57194505819); Vivani, Laura (56910266500); Anastasia, Silvia (60217861800); Tsaopoulos, Dimitrios (13806237900); Nikolopoulos, Spiros (34971754900); Risvas, Konstantinos (57216939027); Kalaganis, Fotis (57191262870)","57217387972; 57209475791; 57216675273; 36090096200; 57224961460; 59326518400; 60346518700; 8914762100; 57937731100; 57209503349; 57959003700; 58844338700; 56689969700; 55628589725; 7102147991; 8714483100; 60346887100; 57779897300; 59282341600; 60346518800; 7006120856; 57206215196; 49963001600; 57802425600; 57203229915; 58716710800; 55941397000; 27467722800; 7004417687; 60346811100; 60346961000; 60346961100; 7005169412; 52363454900; 18634318700; 60346594100; 24342838100; 60346444000; 24470264300; 36136288000; 57951148800; 7004780531; 36774369700; 57207855399; 60346887200; 25960255600; 36349647600; 57199015440; 57199015451; 57197873691; 58236091200; 57209237957; 60346736800; 58234963500; 58236091300; 58871769100; 60346518900; 60346444100; 57201055470; 60346444200; 18635629300; 57211491344; 36552188400; 56471827000; 26032236900; 60346736900; 60346594200; 23388785300; 56648018400; 51061396100; 36905200000; 60147226800; 57194505819; 56910266500; 60217861800; 13806237900; 34971754900; 57216939027; 57191262870","Intelligent monitoring to predict atrial fibrillation (NOTE-AF): clinical study 1 for the € Health virtual twins for the personalised management of stroke related to atrial fibrillation (TARGET)' project - a protocol for a prospective cohort analysis","2026","BMJ Open ","16","1","e099658","","","0","10.1136/bmjopen-2025-099658","https://www.scopus.com/pages/publications/105026639400?origin=resultslist","Article","Final","Scopus","2-s2.0-105026639400"
"Nikolaidis C.G.; Gyriki D.; Stavropoulou E.; Karlafti E.; Didangelos T.; Tsigalou C.; Thanopoulou A.","Nikolaidis, Christos G. (55319796300); Gyriki, Despoina (59146855900); Stavropoulou, Elisavet (37062093800); Karlafti, Eleni (55865999300); Didangelos, Triantafyllos (6602704386); Tsigalou, Christina (16647931600); Thanopoulou, Anastasia (6508095553)","55319796300; 59146855900; 37062093800; 55865999300; 6602704386; 16647931600; 6508095553","Targeting the TLR4 axis with microbiota-oriented interventions and innovations in diabetes therapy: a narrative review","2025","Frontiers in Immunology","16","","1701504","","","1","10.3389/fimmu.2025.1701504","https://www.scopus.com/pages/publications/105026221874?origin=resultslist","Review","Final","Scopus","2-s2.0-105026221874"
"Kaushal S.A.; Qureshi Z.A.; Barai S.; Redekar S.","Kaushal, Swati Ambarish (60586098800); Qureshi, Zeenia Akhtar (60586121400); Barai, Shreya (60586245700); Redekar, Seema (57782312200)","60586098800; 60586121400; 60586245700; 57782312200","Cardiovascular Disease Detection and Prevention using IoT and ML","2026","Advances in Science and Technology","","","","144","150","0","10.1201/9781003774679-25","https://www.scopus.com/pages/publications/105035975226?origin=resultslist","Book chapter","Final","Scopus","2-s2.0-105035975226"
"Lu J.; Xiao R.; Hu X.; Do D.H.","Lu, Jiaying (57219628325); Xiao, Ran (57196439389); Hu, Xiao (55603985300); Do, Duc H (55171574700)","57219628325; 57196439389; 55603985300; 55171574700","Artificial intelligence in cardiac telemetry","2025","Heart","111","19","","897","903","1","10.1136/heartjnl-2024-323947","https://www.scopus.com/pages/publications/105001335628?origin=resultslist","Review","Final","Scopus","2-s2.0-105001335628"
"","","","International Conference on Power Engineering and Intelligent Systems, PEIS 2025","2026","Lecture Notes in Electrical Engineering","1461 LNEE","","","","","0","","https://www.scopus.com/pages/publications/105030210242?origin=resultslist","Conference review","Final","Scopus","2-s2.0-105030210242"
"Mathur G.; Savita P.; Gaur N.; Vishwakarma B.; Tripathi V.","Mathur, Garima (57219143396); Savita, Pankaj (59157548300); Gaur, Neeraj (59410843400); Vishwakarma, Bhavana (59464722600); Tripathi, Vaibhav (59724324600)","57219143396; 59157548300; 59410843400; 59464722600; 59724324600","Exploring the Potential of IoT, Machine Learning, and Cloud Computing in Smart Home Applications","2024","2024 International Conference on Advances in Computing Research on Science Engineering and Technology, ACROSET 2024","","","","","","1","10.1109/ACROSET62108.2024.10743967","https://www.scopus.com/pages/publications/85211446398?origin=resultslist","Conference paper","Final","Scopus","2-s2.0-85211446398"
"Hsiao C.-T.; Hong S.; Branan K.L.; McMurray J.; Coté G.L.","Hsiao, Chin-To (58236199900); Hong, Sungcheol (57215640432); Branan, Kimberly L. (57216180463); McMurray, Justin (57204660998); Coté, Gerard L. (24429621800)","58236199900; 57215640432; 57216180463; 57204660998; 24429621800","Predicting blood pressure without a cuff using a unique multi-modal wearable device and machine learning algorithm","2025","Computers in Biology and Medicine","192","","110357","","","7","10.1016/j.compbiomed.2025.110357","https://www.scopus.com/pages/publications/105004563745?origin=resultslist","Article","Final","Scopus","2-s2.0-105004563745"
